submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
10/19/2020,SD,33836,NA,NA,567,2,323,318,5,0,0,10/20/2020 02:59:27 PM,N/A,Agree
08/24/2020,PW,0,NA,NA,0,0,0,NA,NA,0,0,08/25/2020 02:02:54 PM,NA,NA
03/13/2021,PA,964576,826364,138212,3120,725,24573,NA,NA,43,34,03/14/2021 01:53:25 PM,Agree,Not agree
02/20/2020,PR,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
05/09/2020,NM,4778,NA,NA,105,0,251,NA,NA,8,0,05/11/2020 12:00:00 AM,N/A,Not agree
10/19/2020,TN,238900,226467,12433,3733,388,3194,3020,174,33,3,10/19/2020 12:00:00 AM,Agree,Agree
10/17/2020,PA,180943,173850,7093,1857,176,8466,NA,NA,9,2,10/18/2020 01:26:54 PM,Agree,Not agree
05/13/2020,OH,25721,24245,1476,471,35,1483,1347,136,47,3,05/14/2020 05:25:44 PM,Agree,Agree
12/07/2020,AR,172042,NA,NA,1118,114,2713,NA,NA,53,5,12/08/2020 02:59:49 PM,Not agree,Not agree
09/09/2020,TX,645791,NA,NA,4000,0,15532,NA,NA,86,0,09/11/2020 12:00:00 AM,Not agree,Not agree
05/29/2021,TN,862671,710791,151880,156,48,12461,10033,2428,3,1,05/29/2021 12:00:00 AM,Agree,Agree
10/04/2020,NYC,250096,242595,7501,680,83,23555,18908,4647,3,0,10/02/2020 12:00:00 AM,Agree,Agree
06/22/2021,KS,316695,255403,61292,0,0,5129,NA,NA,0,0,06/23/2021 03:24:06 PM,Agree,N/A
12/29/2020,SD,98158,NA,NA,501,81,1446,1175,271,0,0,12/30/2020 02:56:20 PM,N/A,Agree
04/10/2020,WV,574,NA,NA,51,NA,5,NA,NA,0,NA,04/09/2020 04:22:39 PM,Agree,Not agree
05/04/2021,MP,168,168,0,0,0,2,2,0,0,0,05/05/2021 02:14:20 PM,Agree,Agree
05/06/2020,RMI,0,0,0,0,0,0,0,0,0,0,05/07/2020 10:59:02 PM,Agree,Agree
06/28/2020,FL,138567,NA,NA,8475,0,3419,NA,NA,29,0,06/29/2020 02:37:31 PM,Not agree,Not agree
10/31/2020,UT,114656,114656,0,1724,0,604,597,7,3,-1,11/01/2020 03:03:08 PM,Agree,Agree
02/05/2021,SD,108944,NA,NA,131,25,1798,1455,343,10,-4,02/06/2021 04:05:17 PM,N/A,Agree
12/27/2020,PA,610268,551985,58283,4893,267,15010,NA,NA,127,117,12/28/2020 02:42:49 PM,Agree,Not agree
01/06/2021,PR,79898,74967,4931,286,75,1588,1319,269,18,2,01/07/2021 02:56:59 PM,Agree,Agree
02/18/2021,PA,906275,782168,124107,3345,1095,23413,NA,NA,94,64,02/19/2021 03:33:51 PM,Agree,Not agree
04/17/2021,GA,1083300,868163,215137,1671,486,19757,17214,2543,39,5,04/18/2021 01:41:35 PM,Agree,Agree
11/13/2020,NM,62006,NA,NA,1230,0,1399,NA,NA,36,3,11/15/2020 12:00:00 AM,N/A,Not agree
03/06/2020,AK,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,N/A,N/A
11/25/2020,PW,0,NA,NA,0,0,0,NA,NA,0,0,11/26/2020 02:44:21 PM,NA,NA
07/14/2020,GA,125091,122236,2855,3573,195,3054,3054,0,28,0,07/15/2020 11:05:12 AM,Agree,Agree
